category,split,rank,object_id,retained_count,retention_rate,uses_frozen_base_preprocessing
bowl,train,1,core-bowl-4227b58665eadcefc0dc3ed657ab97f0,33,0.9428571428571428,True
bowl,train,2,core-bowl-e3095ecacc36080cb398a1cfd1079875,32,0.8,True
bowl,train,3,core-bowl-b65cbede8f483d51f7de4d28691515e1,19,0.95,True
bowl,train,4,core-bowl-817221e45b63cef62f74bdafe5239fba,14,0.7,True
bowl,train,5,core-bowl-754634abeb7bffc32977b68653eb2e1e,14,0.7,False
bowl,train,6,core-bowl-dd15ee7374954827c5be64abd4416cc9,20,1.0,False
bowl,train,7,core-bowl-80608e58db79d4d83b722c86abee0751,18,0.9,False
bowl,train,8,core-bowl-faa200741fa93abb47ec7417da5d353d,16,0.8,False
bowl,train,9,core-bowl-1b4d7803a3298f8477bdcb8816a3fac9,14,0.7,False
bowl,train,10,core-bowl-709778e5ebb67e32b396efafc0d0d8ac,40,1.0,False
bowl,train,11,core-bowl-b195dbe537993945e4e346ee2650d150,40,1.0,False
bowl,train,12,core-bowl-1f910faf81555f8e664b3b9b23ddfcbc,15,0.75,False
bowl,train,13,core-bowl-56803af65db53307467ca2ad6571afff,17,0.85,False
bowl,train,14,core-bowl-db180e4f9a75ae717ba6f8f10959534c,20,1.0,False
bowl,train,15,core-bowl-24907349b2323824664b3b9b23ddfcbc,17,0.85,False
bowl,train,16,core-bowl-879a5c740b25ef5c7a88a2ad67bfd073,18,0.9,False
bowl,train,17,core-bowl-519f07b4ecb0b82ed82a7d8f544ae151,17,0.85,False
bowl,train,18,core-bowl-9ea66797afeb86196ea1c514a0de6d2d,19,0.95,False
bowl,train,19,core-bowl-9a6cec1cfca7e8b5ebc583f22bd58b85,27,0.675,False
bowl,train,20,core-bowl-a73d531b90965199e5f6d587dbc348b5,16,0.8,False
bowl,test,1,core-bowl-fa23aa60ec51c8e4c40fe5637f0a27e1,15,0.75,False
bowl,test,2,core-bowl-ce48ffb418b99996912a38ce5826ebb8,20,1.0,False
bowl,test,3,core-bowl-3f56833e91054d2518e800f0d88f9019,40,1.0,False
bowl,test,4,core-bowl-45603bffc6a2866b5d1ac0d5489f7d84,16,0.8,False
bowl,test,5,core-bowl-e16e27d3670853b12d4e6b2984840098,17,0.85,False
camera,train,1,core-camera-82819e1201d2dc583a3e53900c6cbba,38,0.95,True
camera,train,2,core-camera-a3c9dcaada9e04d09061da204e7c463c,26,0.9285714285714286,True
camera,train,3,core-camera-9d79c246317bbbe87f72d6c7f2024896,36,0.972972972972973,True
camera,train,4,core-camera-a59cbd50ecf38a1be2dc67b821479cc4,16,0.8,True
camera,train,5,core-camera-b27815a2bde54ad3ab3dfa44f5fab01,17,0.7727272727272727,False
camera,train,6,core-camera-74ebdf5a3cdf33ebc6966f67e1bb9e90,12,0.6,False
camera,train,7,core-camera-63c10cfd6f0ce09a241d076ab53023c1,19,0.95,False
camera,train,8,core-camera-a9408583f2c4d6acad8a06dbee1d115,40,1.0,False
camera,train,9,core-camera-2c0b4e318766e01723cd81bf29b64a1,35,0.875,False
camera,train,10,core-camera-e85debbd554525d198494085d68ad6a0,17,0.85,False
camera,train,11,core-camera-fb3b5fae94f7b02a3b269928487f8a4c,20,0.9523809523809523,False
camera,train,12,core-camera-ee58b922bd93d01be4f112f1b3124b84,15,0.75,False
camera,train,13,core-camera-4852ee95e7bd8556c60396a717ba6c7e,39,0.975,False
camera,train,14,core-camera-cda4fc24b2a602b5b5328fde615e4a0c,18,0.9,False
camera,train,15,core-camera-2fc6168fba3ef6953ada8db96f6d95a3,29,0.90625,False
camera,train,16,core-camera-b22e56fdf18e2eb8968b65a7871de463,19,0.95,False
camera,train,17,core-camera-46c09085e451de8fc3c192db90697d8c,39,1.0,False
camera,train,18,core-camera-4cd861035c740db5a33f3afcb8763f26,39,0.975,False
camera,train,19,core-camera-58e9faa223142b7fd5af42f3e1f05e3f,32,0.9142857142857143,False
camera,train,20,core-camera-ec28a64bdf9501161bfbba8a5defb02,40,1.0,False
camera,test,1,core-camera-6c14c6f6cca53a6710d0920f7087353b,33,0.9166666666666666,False
camera,test,2,core-camera-147183af1ba4e97b8a94168388287ad5,18,0.75,False
camera,test,3,core-camera-7077395b60bf4aeb3cb44973ec1ffcf8,37,0.925,False
camera,test,4,core-camera-73b02fe7b4b2e45f74cd541b34c6124,19,0.95,False
camera,test,5,core-camera-1cc93f96ad5e16a85d3f270c1c35f1c7,39,0.975,False
mug,train,1,core-mug-1a97f3c83016abca21d0de04f408950f,36,0.9,True
mug,train,2,core-mug-b4ae56d6638d5338de671f28c83d2dcb,39,0.975,True
mug,train,3,core-mug-35ce7ede92198be2b759f7fb0032e59,38,0.95,True
mug,train,4,core-mug-c51b79493419eccdc1584fff35347dc6,20,1.0,True
mug,train,5,core-mug-85d5e7be548357baee0fa456543b8166,20,1.0,False
mug,train,6,core-mug-a637500654ca8d16c97cfc3e8a6b1d16,14,0.7,False
mug,train,7,core-mug-fd1f9e8add1fcbd123c841f9d5051936,16,0.8,False
mug,train,8,core-mug-345d3e7252156db8d44ee24d6b5498e1,22,1.0,False
mug,train,9,core-mug-5c7c4cb503a757147dbda56eabff0c47,18,0.9,False
mug,train,10,core-mug-127944b6dabee1c9e20e92c5b8147e4a,35,0.875,False
mug,train,11,core-mug-9737c77d3263062b8ca7a0a01bcd55b6,38,0.95,False
mug,train,12,core-mug-f1e439307b834015770a0ff1161fa15a,30,0.8571428571428571,False
mug,train,13,core-mug-c7ddd93b15e30faae180a52fd2be32,20,0.9090909090909091,False
mug,train,14,core-mug-1ea9ea99ac8ed233bf355ac8109b9988,32,0.9411764705882353,False
mug,train,15,core-mug-6e884701bfddd1f71e1138649f4c219,27,0.84375,False
mug,train,16,core-mug-d75af64aa166c24eacbe2257d0988c9c,17,0.7391304347826086,False
mug,train,17,core-mug-c60f62684618cb52a4136492f17b9a59,34,0.85,False
mug,train,18,core-mug-83827973c79ca7631c9ec1e03e401f54,21,0.875,False
mug,train,19,core-mug-187859d3c3a2fd23f54e1b6f41fdd78a,18,0.9,False
mug,train,20,core-mug-bcb6be8f0ff4a51872e526c4f21dfca4,20,0.9090909090909091,False
mug,test,1,core-mug-15bd6225c209a8e3654b0ce7754570c8,21,0.8076923076923077,False
mug,test,2,core-mug-d32cd77c6630b77de47c0353c18d58e,35,0.9459459459459459,False
mug,test,3,core-mug-f626192a5930d6c712f0124e8fa3930b,19,0.95,False
mug,test,4,core-mug-9ff8400080c77feac2ad6fd1941624c3,18,0.9,False
mug,test,5,core-mug-4b8b10d03552e0891898dfa8eb8eefff,32,0.8,False
